candidateId,brand,productName,category,domain,sourceUrl,phaseCStatus,blockedReason
naver-56425945155,웨이크메이크,[1+1]웨이크메이크 철벽 브러쉬 아이라이너 3COLOR(1+1 기획),liner,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000130012,manual_review_required,robots_fetch_failed_requires_manual_review
naver-54873428026,웨이크메이크,[NEW/트임라이너]웨이크메이크 리얼 디파이닝 펜슬 라이너 8COLOR,liner,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000227420,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56456048563,웨이크메이크,웨이크메이크 소프트 드로잉 슬림 브로우 4COLOR,brow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000208272,manual_review_required,robots_fetch_failed_requires_manual_review
naver-58572181779,웨이크메이크,[NEW/브로우맛집] 웨이크메이크 리얼 픽싱 슬림 브로우카라 5COLOR,brow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000244390,manual_review_required,robots_fetch_failed_requires_manual_review
naver-57705495648,웨이크메이크,[NEW/브로우픽서 증정] 웨이크메이크 내추럴 하드 브로우 펜슬 9COLOR (1+1기획),brow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000178972,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56426874759,웨이크메이크,웨이크메이크 파우더 젯 듀얼 브로우 5COLOR,brow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000197861,manual_review_required,robots_fetch_failed_requires_manual_review
naver-59075048820,데이지크,[미니 틴트 증정] 데이지크 쥬시 듀이 틴트 28 colors (단품/기획),lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000184327,manual_review_required,robots_fetch_failed_requires_manual_review
naver-59419347911,데이지크,데이지크 쥬시 듀이 틴트,lip,chicor.com,https://chicor.com/goods/5100002008619?utm_source=naver&utm_medium=cpc&utm_campaign=ep,manual_review_required,terms_not_configured
naver-60675904491,데이지크,[데이지크] 폴리포켓 수플레 컬러 팟,lip,m.a-bly.com,https://m.a-bly.com/goods/72890448?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=72890448,manual_review_required,terms_not_configured
naver-59999134087,데이지크,[데이지크] 무드 싱글 섀도우 40종,shadow,m.a-bly.com,https://m.a-bly.com/goods/53145563?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=53145563,manual_review_required,terms_not_configured
naver-58032578155,데이지크,데이지크 섀도우 팔레트,shadow,chicor.com,https://chicor.com/goods/5100002007508?utm_source=naver&utm_medium=cpc&utm_campaign=ep,manual_review_required,terms_not_configured
naver-87817630982,데이지크,데이지크 코렉팅 선 베이스 30ml SPF50 PA+++,base,shopping.naver.com,https://shopping.naver.com/outlink/itemdetail/10273127158,manual_review_required,terms_not_configured
naver-49163458340,데이지크,[데이지크] 블렌딩 무드 치크,cheek,m.a-bly.com,https://m.a-bly.com/goods/4582150?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=4582150,manual_review_required,terms_not_configured
naver-59660675985,데이지크,[데이지크] 미니 블렌딩 무드 치크,cheek,m.a-bly.com,https://m.a-bly.com/goods/67205249?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=67205249,manual_review_required,terms_not_configured
naver-83120985003,데이지크,데이지크 무드 업 마스카라 롱앤컬 7.5g,liner,shopping.naver.com,https://shopping.naver.com/outlink/itemdetail/5576488931,manual_review_required,terms_not_configured
